seed,name,match_id,winner,score,schedule
1,Koagedal / Porter,,,
2,Zerbe / Fradelizio,,,
3,Levine / Zlot,,,
4,Dowd / Bartsh,,,
5,Nelson II / Morgan,,,
6,De Surville / A. Ryan,,,
7,Herzog / Gordon,,,
8,Friedman / Pilger,,,
9,Lateef / P. Bjursten,,,
10,Miller / M. Hyman,,,
11,Zintak / Mortimer,,,
12,Coduto / Ortiz,,,
13,MacKay / Nutting,,,
14,Hamill / Cussen,,,
15,Mitchell / Levitan,,,
16,Park / Solter,,,
17,Wu / Tiret,,,
18,Herbst / Eiseman,,,
19,Tupper / Aanes,,,
20,Cook / Cinelli,,,
21,Mayeda / D. Thompson,,,
22,Eesley / R. Gibson,,,
23,Henderson / Rivers,,,
24,Chang / Z. Hyman,,,
25,Lance / Oppenheim,,,
26,H. Klein / Ross,,,
27,McKinley / Gottschalk,,,
28,Tilney / Morrison,,,
29,Dresser / Borden,,,
30,Thornton / Fish,,,
31,Russell / AbouKhater,,,
32,Wheelock / Ferst,,,
,,M1,,
,,M2,,
,,M3,,
,,M4,,
,,M5,,
,,M6,,
,,M7,,
,,M8,,
,,M9,,
,,M10,,
,,M11,,
,,M12,,
,,M13,,
,,M14,,
,,M15,,
,,M16,,
,,M17,,
,,M18,,
,,M19,,
,,M20,,
,,M21,,
,,M22,,
,,M23,,
,,M24,,
,,M25,,
,,M26,,
,,M27,,
,,M28,,
,,M29,,
,,M30,,
,,M31,,
